scores,max_score,average_scores,std
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[ 0.1  -0.01],0.10000000149011612,0.005263157973164006,0.022329688159681883
[-0.01  0.  ],0.0,0.005000000074505806,0.021794495042466645
[ 0.   -0.01],0.0,0.004761904832862672,0.02129588581733142
[ 0.   -0.01],0.0,0.004545454613187097,0.020829889832916088
[ 0.   -0.01],0.0,0.004347826151744179,0.020393112303113355
[ 0.   -0.01],0.0,0.004166666728754838,0.01998263164490074
[-0.01  0.  ],0.0,0.004000000059604645,0.019595918234267356
[ 0.   -0.01],0.0,0.0038461539034660044,0.01923076951733002
[ 0.   -0.01],0.0,0.0037037037588931896,0.01888525773916332
[ 0.   -0.01],0.0,0.0035714286246470044,0.018557687500483346
[ 0.   -0.01],0.0,0.00344827591345228,0.01824656103785764
[ 0.   -0.01],0.0,0.0033333333830038708,0.01795054962459904
[-0.01  0.  ],0.0,0.0032258064996811653,0.01766846986022155
[ 0.   -0.01],0.0,0.0031250000465661287,0.01739926389311305
[-0.01  0.1 ],0.10000000149011612,0.006060606150916128,0.023860630276799008
[-0.01  0.  ],0.0,0.00588235302883036,0.02352941211532144
[-0.01  0.  ],0.0,0.005714285799435207,0.02321153864483876
[ 0.   -0.01],0.0,0.005555555638339784,0.022906142705870675
[ 0.   -0.01],0.0,0.005405405485952222,0.02261243348652112
[-0.01  0.  ],0.0,0.005263157973164006,0.02232968815968188
[ 0.   -0.01],0.0,0.005128205204621339,0.02205724460314682
[ 0.   -0.01],0.0,0.005000000074505806,0.021794495042466645
[-0.01  0.  ],0.0,0.004878048853176396,0.021540880482759362
[-0.01  0.  ],0.0,0.004761904832862672,0.02129588581733142
[ 0.   -0.01],0.0,0.004651162860005401,0.021059035518774815
[ 0.   -0.01],0.0,0.004545454613187097,0.020829889832916088
[ 0.   -0.01],0.0,0.004444444510671827,0.0206080414081853
[-0.01  0.  ],0.0,0.004347826151744179,0.020393112303113352
[-0.01  0.  ],0.0,0.004255319212345367,0.020184751323127584
[ 0.   -0.01],0.0,0.004166666728754838,0.01998263164490074
[ 0.   -0.01],0.0,0.004081632713882291,0.019786448692458724
[ 0.1  -0.01],0.10000000149011612,0.006000000089406967,0.023748684527958808
[ 0.   -0.01],0.0,0.00588235302883036,0.023529412115321443
[ 0.   -0.01],0.0,0.005769230855199007,0.023316068910863692
[ 0.   -0.01],0.0,0.0056603774428367615,0.023108394144183204
[ 0.   -0.01],0.0,0.005555555638339784,0.022906142705870675
[0.   0.09],0.09000000171363354,0.007090909203345126,0.025346524441454608
[ 0.   -0.01],0.0,0.006964285824713963,0.025136743768484987
[-0.01  0.  ],0.0,0.006842105371648805,0.024932040987687726
[ 0.   -0.01],0.0,0.00672413803765486,0.02473221664363849
[ 0.   -0.01],0.0,0.006610169596338676,0.024537081940479485
[ 0.   -0.01],0.0,0.006500000103066365,0.0243464580319643
[-0.01  0.  ],0.0,0.006393442724327572,0.024160175367299645
[ 0.   -0.01],0.0,0.006290322680386805,0.023978073087811146
[ 0.   -0.01],0.0,0.006190476288634633,0.02379999846994607
[-0.01  0.  ],0.0,0.006093750096624717,0.023625806410561296
[-0.01  0.  ],0.0,0.006000000095138183,0.023455358950835795
[ 0.   -0.01],0.0,0.005909091002787604,0.023288524835496944
[ 0.   -0.01],0.0,0.005820895614686297,0.023125179104364825
[ 0.   -0.01],0.0,0.005735294208587969,0.022965202713500454
[-0.01  0.  ],0.0,0.005652174002666405,0.022808482183497885
[-0.01  0.  ],0.0,0.00557142865977117,0.022654909272687557
[-0.01  0.  ],0.0,0.0054929578335772096,0.0225043806732235
[-0.01  0.  ],0.0,0.005416666752555304,0.022356797728211145
[-0.01  0.  ],0.0,0.005342465838136738,0.02221206616819893
[ 0.   -0.01],0.0,0.005270270353837593,0.022070095865506473
[-0.01  0.  ],0.0,0.005200000082453092,0.021930800604997015
[ 0.   -0.01],0.0,0.005131579028736604,0.021794097870024242
[-0.01  0.  ],0.0,0.005064935145246518,0.021659908642393498
[ 0.   -0.01],0.0,0.005000000079281819,0.021528157215277184
[-0.01  0.  ],0.0,0.004936708939037746,0.021398771018114614
[-0.01  0.  ],0.0,0.004875000077299773,0.0212716804526082
[ 0.   -0.01],0.0,0.00481481489116027,0.021146818739001937
[-0.01  0.  ],0.0,0.004756097636390023,0.021024121771896012
[ 0.   -0.01],0.0,0.004698795255228698,0.020903527984911803
[ 0.   -0.01],0.0,0.0046428572164759745,0.02078497822357782
[-0.01  0.  ],0.0,0.004588235366870376,0.020668415625857365
[ 0.   -0.01],0.0,0.004534883792836999,0.0205537855097851
[ 0.   -0.01],0.0,0.004482758691769907,0.020441035267721435
[ 0.   -0.01],0.0,0.004431818252090703,0.020330114266772416
[ 0.   -0.01],0.0,0.004382022541393055,0.02022097375495738
[0.   0.09],0.09000000171363354,0.005333333421084616,0.02202019311317494
[ 0.   -0.01],0.0,0.005274725361512258,0.02190592606253108
[-0.01  0.  ],0.0,0.005217391390191472,0.021793410851647467
[-0.01  0.  ],0.0,0.005161290407501241,0.021682603421289044
[ 0.   -0.01],0.0,0.0051063830627405896,0.021573461238125775
[-0.01  0.  ],0.0,0.0050526316620801625,0.02146594322796131
[ 0.   -0.01],0.0,0.005000000082266827,0.021360009712466977
[-0.01  0.  ],0.0,0.004948453689666139,0.021255622349207616
[ 0.   -0.01],0.0,0.004897959264261382,0.021152744074761264
[ 0.   -0.01],0.0,0.004848484928258742,0.02105133905074725
[ 0.   -0.01],0.0,0.004800000078976154,0.020951372612590485
[ 0.   -0.01],0.0,0.004800000078976154,0.020951372612590485
[ 0.   -0.01],0.0,0.004800000078976154,0.020951372612590485
[ 0.   -0.01],0.0,0.004800000078976154,0.020951372612590485
[ 0.   -0.01],0.0,0.004800000078976154,0.020951372612590485
[ 0.1  -0.01],0.10000000149011612,0.005800000093877315,0.022986083115681823
[-0.01  0.  ],0.0,0.005800000093877315,0.022986083115681826
[ 0.   -0.01],0.0,0.005800000093877315,0.022986083115681823
[ 0.   -0.01],0.0,0.005800000093877315,0.022986083115681823
[ 0.   -0.01],0.0,0.005800000093877315,0.022986083115681826
[-0.01  0.  ],0.0,0.005800000093877315,0.022986083115681826
[ 0.   -0.01],0.0,0.005800000093877315,0.022986083115681826
[-0.01  0.  ],0.0,0.005800000093877315,0.022986083115681826
[ 0.1  -0.01],0.10000000149011612,0.006800000108778476,0.024814512277916225
[-0.01  0.  ],0.0,0.006800000108778476,0.02481451227791622
[ 0.   -0.01],0.0,0.006800000108778476,0.02481451227791622
[-0.01  0.  ],0.0,0.006800000108778476,0.02481451227791622
[ 0.1  -0.01],0.10000000149011612,0.007800000123679638,0.02647942639335437
[-0.01  0.  ],0.0,0.007800000123679638,0.02647942639335437
[ 0.   -0.01],0.0,0.006800000108778476,0.024814512277916225
[0.   0.09],0.09000000171363354,0.007700000125914812,0.026147849284705888
[-0.01  0.  ],0.0,0.007700000125914812,0.026147849284705888
[ 0.   -0.01],0.0,0.007700000125914812,0.026147849284705888
[-0.01  0.  ],0.0,0.007700000125914812,0.026147849284705888
[0.   0.09],0.09000000171363354,0.008600000143051147,0.027386858614650254
[-0.01  0.  ],0.0,0.008600000143051147,0.027386858614650254
[-0.01  0.  ],0.0,0.008600000143051147,0.027386858614650254
[ 0.   -0.01],0.0,0.008600000143051147,0.027386858614650254
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[ 0.   -0.01],0.0,0.008600000143051147,0.02738685861465025
[ 0.   -0.01],0.0,0.008600000143051147,0.02738685861465025
[ 0.1  -0.01],0.10000000149011612,0.009600000157952308,0.028841637040689466
[ 0.   -0.01],0.0,0.008600000143051147,0.027386858614650254
[ 0.   -0.01],0.0,0.008600000143051147,0.027386858614650254
[ 0.   -0.01],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[ 0.   -0.01],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[ 0.   -0.01],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[-0.01  0.  ],0.0,0.008600000143051147,0.02738685861465025
[ 0.1  -0.01],0.10000000149011612,0.009600000157952308,0.028841637040689466
[ 0.   -0.01],0.0,0.008600000143051147,0.027386858614650254
[0.   0.09],0.09000000171363354,0.009500000160187483,0.028543826430251096
[ 0.1  -0.01],0.10000000149011612,0.010500000175088644,0.02991237251752582
[ 0.   -0.01],0.0,0.010500000175088644,0.029912372517525817
[-0.01  0.  ],0.0,0.010500000175088644,0.029912372517525817
[-0.01  0.  ],0.0,0.009600000157952308,0.028841637040689466
[ 0.1  -0.01],0.10000000149011612,0.01060000017285347,0.030193377246265342
[-0.01  0.  ],0.0,0.01060000017285347,0.030193377246265342
[ 0.   -0.01],0.0,0.01060000017285347,0.030193377246265342
[ 0.   -0.01],0.0,0.01060000017285347,0.030193377246265342
[ 0.   -0.01],0.0,0.01060000017285347,0.030193377246265345
[ 0.   -0.01],0.0,0.01060000017285347,0.030193377246265345
[ 0.   -0.01],0.0,0.01060000017285347,0.030193377246265345
[ 0.   -0.01],0.0,0.01060000017285347,0.030193377246265345
[-0.01  0.  ],0.0,0.01060000017285347,0.030193377246265345
[0.   0.09],0.09000000171363354,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.03118894085913406
[ 0.   -0.01],0.0,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.03118894085913406
[ 0.   -0.01],0.0,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.03118894085913406
[ 0.   -0.01],0.0,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.031188940859134064
[-0.01  0.  ],0.0,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.03118894085913406
[ 0.   -0.01],0.0,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.031188940859134064
[ 0.   -0.01],0.0,0.011500000189989805,0.03118894085913406
[ 0.   -0.01],0.0,0.011500000189989805,0.03118894085913406
[-0.01  0.  ],0.0,0.011500000189989805,0.03118894085913406
[ 0.1  -0.01],0.10000000149011612,0.012500000204890966,0.03238441035656332
[-0.01  0.  ],0.0,0.012500000204890966,0.03238441035656332
[0.   0.09],0.09000000171363354,0.013400000222027302,0.033263193418533475
[ 0.   -0.01],0.0,0.013400000222027302,0.033263193418533475
[ 0.   -0.01],0.0,0.013400000222027302,0.033263193418533475
[ 0.1  -0.01],0.10000000149011612,0.014400000236928463,0.03433132736300467
[-0.01  0.  ],0.0,0.014400000236928463,0.03433132736300467
[ 0.1  -0.01],0.10000000149011612,0.015400000251829624,0.03533893094808065
[ 0.   -0.01],0.0,0.015400000251829624,0.03533893094808065
[0.   0.09],0.09000000171363354,0.01630000026896596,0.036073675202643485
[ 0.   -0.01],0.0,0.015400000251829624,0.03533893094808065
[ 0.   -0.01],0.0,0.015400000251829624,0.03533893094808065
[-0.01  0.  ],0.0,0.015400000251829624,0.03533893094808065
[-0.01  0.  ],0.0,0.015400000251829624,0.03533893094808065
[ 0.   -0.01],0.0,0.015400000251829624,0.03533893094808065
[0.   0.09],0.09000000171363354,0.01630000026896596,0.03607367520264348
[ 0.   -0.01],0.0,0.01630000026896596,0.03607367520264348
[-0.01  0.  ],0.0,0.01630000026896596,0.03607367520264348
[ 0.   -0.01],0.0,0.01630000026896596,0.03607367520264348
[0.1  0.09],0.10000000149011612,0.01730000028386712,0.03698256406135917
[-0.01  0.  ],0.0,0.01730000028386712,0.03698256406135917
[ 0.1  -0.01],0.10000000149011612,0.01830000029876828,0.03784322986241596
[0.1  0.09],0.10000000149011612,0.019300000313669442,0.03865889352047161
[ 0.   -0.01],0.0,0.019300000313669442,0.03865889352047161
[ 0.1  -0.01],0.10000000149011612,0.020300000328570603,0.039432347761388334
[ 0.   -0.01],0.0,0.019300000313669442,0.03865889352047161
[0.1  0.09],0.10000000149011612,0.020300000328570603,0.039432347761388334
[ 0.   -0.01],0.0,0.020300000328570603,0.03943234776138834
[-0.01  0.  ],0.0,0.020300000328570603,0.039432347761388334
[ 0.   -0.01],0.0,0.020300000328570603,0.03943234776138834
[ 0.1  -0.01],0.10000000149011612,0.021300000343471764,0.040166031066852605
[-0.01  0.  ],0.0,0.021300000343471764,0.040166031066852605
[-0.01  0.1 ],0.10000000149011612,0.022300000358372925,0.040862085767763574
[ 0.   -0.01],0.0,0.021300000343471764,0.04016603106685261
[ 0.   -0.01],0.0,0.021300000343471764,0.040166031066852605
[ 0.   -0.01],0.0,0.021300000343471764,0.040166031066852605
[ 0.   -0.01],0.0,0.021300000343471764,0.040166031066852605
[ 0.   -0.01],0.0,0.020300000328570603,0.03943234776138834
[-0.01  0.  ],0.0,0.020300000328570603,0.03943234776138834
[-0.01  0.1 ],0.10000000149011612,0.021300000343471764,0.040166031066852605
[ 0.   -0.01],0.0,0.02040000032633543,0.039621207072680666
[ 0.   -0.01],0.0,0.02040000032633543,0.039621207072680666
[-0.01  0.  ],0.0,0.02040000032633543,0.03962120707268067
[ 0.   -0.01],0.0,0.02040000032633543,0.039621207072680666
[0.   0.09],0.09000000357627869,0.02040000034496188,0.03962120710540055
[-0.01  0.  ],0.0,0.02040000034496188,0.03962120710540055
[ 0.   -0.01],0.0,0.02040000034496188,0.03962120710540055
[0.   0.09],0.09000000171363354,0.021300000362098215,0.04016603109871131
[0.   0.09],0.09000000171363354,0.02220000037923455,0.04068365833961536
[ 0.   -0.01],0.0,0.02220000037923455,0.04068365833961536
[-0.01  0.  ],0.0,0.02220000037923455,0.04068365833961536
[ 0.   -0.01],0.0,0.02220000037923455,0.04068365833961536
[0.09 0.2 ],0.20000000298023224,0.023200000394135712,0.043700801633212265
[-0.01  0.  ],0.0,0.023200000394135712,0.04370080163321227
[-0.01  0.  ],0.0,0.023200000394135712,0.043700801633212265
[-0.01  0.  ],0.0,0.023200000394135712,0.04370080163321227
[-0.01  0.  ],0.0,0.023200000394135712,0.043700801633212265
[-0.01  0.  ],0.0,0.023200000394135712,0.043700801633212265
[-0.01  0.  ],0.0,0.023200000394135712,0.043700801633212265
[ 0.1  -0.01],0.10000000149011612,0.024200000409036873,0.04429853343911187
[-0.01  0.  ],0.0,0.024200000409036873,0.044298533439111866
[-0.01  0.  ],0.0,0.024200000409036873,0.044298533439111866
[ 0.1  -0.01],0.10000000149011612,0.025200000423938038,0.04486602351743747
[ 0.   -0.01],0.0,0.025200000423938038,0.04486602351743747
[-0.01  0.  ],0.0,0.025200000423938038,0.04486602351743747
[ 0.   -0.01],0.0,0.025200000423938038,0.04486602351743747
[ 0.1  -0.01],0.10000000149011612,0.0262000004388392,0.0454044058172639
[-0.01  0.  ],0.0,0.0262000004388392,0.0454044058172639
[-0.01  0.  ],0.0,0.0262000004388392,0.0454044058172639
[ 0.   -0.01],0.0,0.025200000423938038,0.04486602351743747
[ 0.   -0.01],0.0,0.025200000423938038,0.04486602351743747
[-0.01  0.  ],0.0,0.024300000406801702,0.044457958396429166
[ 0.   -0.01],0.0,0.02330000039190054,0.043864678994680814
[ 0.   -0.01],0.0,0.02330000039190054,0.043864678994680814
[-0.01  0.  ],0.0,0.02330000039190054,0.043864678994680814
[-0.01  0.  ],0.0,0.02330000039190054,0.043864678994680814
[ 0.1  -0.01],0.10000000149011612,0.02330000039190054,0.043864678994680814
[ 0.   -0.01],0.0,0.02330000039190054,0.043864678994680814
[0.   0.09],0.09000000171363354,0.024200000409036873,0.044298533439111866
[ 0.   -0.01],0.0,0.024200000409036873,0.044298533439111866
[-0.01  0.1 ],0.10000000149011612,0.025200000423938038,0.04486602351743747
[-0.01  0.  ],0.0,0.025200000423938038,0.04486602351743747
[ 0.   -0.01],0.0,0.025200000423938038,0.04486602351743747
[ 0.   -0.01],0.0,0.025200000423938038,0.04486602351743747
[-0.01  0.  ],0.0,0.025200000423938038,0.044866023517437466
[-0.01  0.  ],0.0,0.024300000406801702,0.04445795839642917
[ 0.1  -0.01],0.10000000149011612,0.025300000421702863,0.04502121795544026
[ 0.   -0.01],0.0,0.025300000421702863,0.04502121795544026
[-0.01  0.1 ],0.10000000149011612,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.026300000436604024,0.04555557120204161
[-0.01  0.  ],0.0,0.026300000436604024,0.0455555712020416
[-0.01  0.  ],0.0,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.026300000436604024,0.04555557120204161
[-0.01  0.  ],0.0,0.026300000436604024,0.04555557120204161
[ 0.   -0.01],0.0,0.026300000436604024,0.04555557120204161
[-0.01  0.  ],0.0,0.026300000436604024,0.0455555712020416
[ 0.   -0.01],0.0,0.025300000421702863,0.04502121795544026
[ 0.   -0.01],0.0,0.025300000421702863,0.04502121795544026
[ 0.   -0.01],0.0,0.024400000404566528,0.044616589568254025
[ 0.   -0.01],0.0,0.024400000404566528,0.044616589568254025
[-0.01  0.  ],0.0,0.024400000404566528,0.044616589568254025
[ 0.   -0.01],0.0,0.023400000389665367,0.04402771925989705
[ 0.   -0.01],0.0,0.023400000389665367,0.04402771925989705
[0.2  0.09],0.20000000298023224,0.024400000404566528,0.046804274064047816
[0.   0.09],0.09000000171363354,0.025300000421702863,0.04719014804121429
[ 0.   -0.01],0.0,0.024400000404566528,0.046804274064047816
[ 0.   -0.01],0.0,0.024400000404566528,0.046804274064047816
[0.   0.09],0.09000000171363354,0.025300000421702863,0.04719014804121429
[-0.01  0.  ],0.0,0.025300000421702863,0.04719014804121429
[ 0.   -0.01],0.0,0.025300000421702863,0.04719014804121429
[-0.01  0.1 ],0.10000000149011612,0.026300000436604024,0.047700210413631795
[ 0.   -0.01],0.0,0.02540000041946769,0.047337512313984344
[ 0.   -0.01],0.0,0.02540000041946769,0.047337512313984344
[ 0.   -0.01],0.0,0.02540000041946769,0.047337512313984344
[ 0.   -0.01],0.0,0.02540000041946769,0.04733751231398435
[ 0.   -0.01],0.0,0.024400000404566528,0.04680427406404781
[ 0.   -0.01],0.0,0.024400000404566528,0.046804274064047816
[ 0.1  -0.01],0.10000000149011612,0.024400000404566528,0.04680427406404781
[0.2  0.09],0.20000000298023224,0.02540000041946769,0.04940485885049247
[ 0.   -0.01],0.0,0.02540000041946769,0.049404858850492464
[-0.01  0.  ],0.0,0.024400000404566528,0.04889417221533629
[ 0.1  -0.01],0.10000000149011612,0.02540000041946769,0.049404858850492464
[0.   0.09],0.09000000171363354,0.025300000421702863,0.04926367909639094
[-0.01  0.1 ],0.10000000149011612,0.026300000436604024,0.04975248817361009
[-0.01  0.  ],0.0,0.026300000436604024,0.04975248817361009
[0.2  0.09],0.20000000298023224,0.028300000466406346,0.0525938217659918
[-0.01  0.1 ],0.10000000149011612,0.028300000466406346,0.0525938217659918
[ 0.   -0.01],0.0,0.028300000466406346,0.0525938217659918
[-0.01  0.  ],0.0,0.027300000451505185,0.05217001137357646
[0.2  0.09],0.20000000298023224,0.029300000481307507,0.05484988691955151
[-0.01  0.  ],0.0,0.029300000481307507,0.05484988691955151
[ 0.1  -0.01],0.10000000149011612,0.03030000049620867,0.05521693667890492
[ 0.   -0.01],0.0,0.03030000049620867,0.05521693667890492
[ 0.1  -0.01],0.10000000149011612,0.03130000051110983,0.055563568075288304
[ 0.   -0.01],0.0,0.03130000051110983,0.05556356807528831
[0.   0.09],0.09000000171363354,0.031200000513345004,0.05544871592132907
[-0.01  0.  ],0.0,0.031200000513345004,0.05544871592132907
[ 0.   -0.01],0.0,0.031200000513345004,0.05544871592132907
[0.   0.09],0.09000000171363354,0.032100000530481336,0.055664980898089064
[0.   0.09],0.09000000171363354,0.033000000547617675,0.055865911783334346
[-0.01  0.  ],0.0,0.03210000051185489,0.055664980878714736
[-0.01  0.  ],0.0,0.03210000051185489,0.055664980878714736
[ 0.   -0.01],0.0,0.03210000051185489,0.055664980878714736
[-0.01  0.  ],0.0,0.031200000494718553,0.05544871590157686
[0.2  0.09],0.20000000298023224,0.03230000050738454,0.05765162705478109
[ 0.1  -0.01],0.10000000149011612,0.0333000005222857,0.057949202781717474
[ 0.1  -0.01],0.10000000149011612,0.03430000053718686,0.05822808689927958
[ 0.   -0.01],0.0,0.03430000053718686,0.05822808689927958
[-0.01  0.  ],0.0,0.03230000050738454,0.055890160995501724
[-0.01  0.  ],0.0,0.03230000050738454,0.055890160995501724
[-0.01  0.  ],0.0,0.03230000050738454,0.05589016099550172
[ 0.   -0.01],0.0,0.03230000050738454,0.05589016099550172
[-0.01  0.  ],0.0,0.03230000050738454,0.05589016099550172
[-0.01  0.1 ],0.10000000149011612,0.0333000005222857,0.05619706484395914
[0.09 0.1 ],0.10000000149011612,0.03430000053718686,0.056484600538461716
[-0.01  0.  ],0.0,0.0333000005222857,0.05619706484395914
[ 0.1  -0.01],0.10000000149011612,0.03430000053718686,0.056484600538461716
[ 0.1  -0.01],0.10000000149011612,0.03530000055208802,0.056753062462244507
[ 0.1  -0.01],0.10000000149011612,0.03530000055208802,0.056753062462244507
[0.   0.09],0.09000000171363354,0.03620000056922436,0.056899561507040966
[ 0.   -0.01],0.0,0.03620000056922436,0.056899561507040966
[0.   0.09],0.09000000171363354,0.03710000058636069,0.057031483414706624
[0.   0.09],0.09000000171363354,0.037000000588595865,0.056929782192962367
[ 0.1  -0.01],0.10000000149011612,0.03800000060349703,0.057148929134400124
[ 0.1  -0.01],0.10000000149011612,0.03900000061839819,0.057349804723465576
[-0.01  0.  ],0.0,0.03900000061839819,0.057349804723465576
[ 0.   -0.01],0.0,0.03900000061839819,0.057349804723465576
[ 0.   -0.01],0.0,0.03900000061839819,0.05734980472346558
[ 0.   -0.01],0.0,0.03900000061839819,0.05734980472346558
[ 0.   -0.01],0.0,0.03900000061839819,0.05734980472346559
[-0.01  0.  ],0.0,0.03900000061839819,0.05734980472346559
[-0.01  0.  ],0.0,0.03900000061839819,0.05734980472346559
[-0.01  0.  ],0.0,0.03800000060349703,0.057148929134400124
